Timestamp,ph,Temp,Cond,DO,Turbidity
2025-03-08 11:45:42,7.252,21.402,197.784,6.688,0.955
2025-03-08 11:46:41,7.251,21.403,197.766,6.685,0.874
2025-03-08 11:47:42,7.251,21.403,197.751,6.685,0.929
2025-03-08 11:48:42,7.252,21.404,197.776,6.686,0.9
2025-03-08 11:49:41,7.252,21.405,197.785,6.686,0.879
2025-03-08 12:00:41,7.251,21.417,197.875,6.683,0.891
2025-03-08 12:01:42,7.251,21.418,197.881,6.684,0.901
2025-03-08 12:02:42,7.251,21.419,197.894,6.683,0.89
2025-03-08 12:03:41,7.251,21.421,197.908,6.682,0.899
2025-03-08 12:04:42,7.251,21.422,197.925,6.683,0.905
2025-03-08 12:05:42,7.251,21.424,197.939,6.681,0.884
2025-03-08 12:06:41,7.25,21.425,197.948,6.683,0.911
2025-03-08 12:07:42,7.25,21.426,197.958,6.683,0.87
2025-03-08 12:08:42,7.25,21.428,197.966,6.681,0.896
2025-03-08 12:09:42,7.25,21.43,198.002,6.681,0.894
2025-03-08 12:10:42,7.25,21.431,198.014,6.681,0.902
2025-03-08 12:11:42,7.25,21.433,198.021,6.68,0.899
2025-03-08 12:12:42,7.25,21.434,198.04,6.68,0.925
2025-03-08 12:13:42,7.25,21.436,198.051,6.678,0.918
2025-03-08 12:14:41,7.25,21.438,198.083,6.678,0.902
2025-03-08 12:15:42,7.25,21.44,198.088,6.678,0.901
2025-03-08 12:16:42,7.249,21.442,198.107,6.678,0.9
2025-03-08 12:17:41,7.25,21.444,198.127,6.677,0.916
2025-03-08 12:18:42,7.249,21.445,198.127,6.676,0.888
2025-03-08 12:19:42,7.249,21.448,198.166,6.674,0.962
2025-03-08 12:20:41,7.249,21.45,198.186,6.676,0.888
2025-03-08 12:21:42,7.249,21.451,198.19,6.674,0.889
2025-03-08 12:22:42,7.249,21.453,198.207,6.674,0.917
2025-03-08 12:23:41,7.249,21.455,198.221,6.674,0.887
2025-03-08 12:24:42,7.249,21.458,198.258,6.674,0.876
2025-03-08 12:25:42,7.249,21.46,198.264,6.673,0.918
